"","MISSION_DATE","TGT_LATITUDE_WGS84","TGT_LONGITUDE_WGS84","CALCULATED_BOMBLOAD_LBS"
"1","6/1/51",38.49881,127.66974,12000
"3","6/1/51",39.66879,125.50653,8000
"4","6/1/51",39.60215,125.66717,16000
"5","6/1/51",39.91217,127.56091,16000
"6","6/1/51",38.24362,126.41753,16000
"7","6/1/51",52.89048,126.55293,48000
"8","6/1/51",40.77223,125.61128,96000
"9","6/1/51",39.65877,125.55279,180000
"10","6/1/51",38.16582,127.71006,5000
"11","6/1/51",38.20858,126.92125,5000
"12","6/1/51",38.20318,127.83503,5000
"13","6/1/51",38.25461,126.97708,5000
"14","6/1/51",38.20173,127.04706,5000
"15","6/1/51",38.15706,127.73304,5000
"16","6/1/51",38.1824,127.58418,5000
"17","6/1/51",38.29953,127.5819,5000
"18","6/1/51",38.25448,127.58278,5000
"19","6/1/51",38.22268,127.99466,5000
"20","6/1/51",38.16118,128.20096,5000
"21","6/1/51",36.6651,128.22789,10000
"22","6/1/51",38.29038,127.57065,15000
"27","6/2/51",39.70554,125.00633,36000
"28","6/2/51",39.70554,125.00633,36000
"29","6/2/51",39.53857,127.25447,8000
"30","6/2/51",39.52939,127.24307,8000
"31","6/2/51",40.72265,126.48985,48000
"32","6/2/51",40.72265,126.48985,48000
"34","6/2/51",38.01361,126.61924,1500
"35","6/2/51",38.08702,126.68527,5000
"36","6/2/51",38.17484,127.7099,5000
"37","6/2/51",38.07934,126.75391,8000
"38","6/2/51",38.18409,127.73257,10000
"39","6/2/51",38.22616,127.48051,10000
"40","6/2/51",38.13879,127.71054,10000
"41","6/2/51",38.27193,127.53671,10000
"42","6/2/51",38.20136,127.66375,15000
"43","6/2/51",38.18385,127.70974,19000
"47","6/3/51",38.45245,125.89926,4000
"49","6/3/51",38.50132,125.74071,12000
"51","6/3/51",39.84011,127.56241,80000
"52","6/3/51",39.54758,127.25425,104000
"53","6/3/51",38.09821,126.79895,5000
"54","6/3/51",38.1091,126.90126,5000
"55","6/3/51",38.20173,127.04706,5000
"56","6/3/51",38.20017,126.95575,5000
"57","6/3/51",38.39237,127.13354,5000
"58","6/3/51",38.20837,126.90984,10000
"59","6/3/51",38.26555,127.76545,10000
"60","6/3/51",38.26321,127.55975,10000
"61","6/3/51",38.57547,127.32395,10000
"62","6/3/51",38.12569,127.37992,10000
"63","6/3/51",38.17545,127.09342,10000
"64","6/3/51",38.28164,127.59368,15000
"68","6/4/51",39.5384,127.24284,16000
"70","6/4/51",38.09396,126.58243,1000
"71","6/4/51",38.19176,126.99024,3000
"72","6/4/51",38.20248,127.09272,5000
"73","6/4/51",38.2592,128.0513,5000
"74","6/4/51",38.19723,128.20057,5000
"75","6/4/51",38.17445,127.67566,5000
"76","6/4/51",38.21062,127.68643,5000
"77","6/4/51",38.21037,127.66359,5000
"78","6/4/51",38.30812,127.54742,5000
"79","6/4/51",38.19347,127.09295,6000
"80","6/4/51",38.17782,128.01811,10000
"81","6/4/51",38.21377,128.0062,10000
"82","6/4/51",38.13422,128.21267,10000
"83","6/4/51",38.20134,127.02423,19000
"86","6/5/51",39.90272,127.52601,16000
"87","6/5/51",38.51032,125.74105,16000
"88","6/5/51",38.73373,125.41599,156000
"89","6/5/51",38.23718,127.01184,4000
"90","6/5/51",38.11448,126.70721,5000
"91","6/5/51",38.20212,127.73226,5000
"92","6/5/51",38.21113,127.73211,5000
"93","6/5/51",38.27675,127.99391,5000
"94","6/5/51",38.22049,127.09225,5000
"95","6/5/51",37.98682,126.6315,5000
"96","6/5/51",37.92558,126.72447,5000
"97","6/5/51",38.13898,126.58095,5000
"98","6/5/51",38.37577,127.98109,5500
"99","6/5/51",38.20957,126.97833,5500
"100","6/5/51",38.20977,126.98974,5500
"101","6/5/51",38.31279,127.99341,9500
"102","6/5/51",38.21125,127.74353,10000
"103","6/5/51",38.28623,128.05095,10000
"104","6/5/51",38.31308,128.02772,10000
"105","6/6/51",38.88885,127.91615,16000
"106","6/6/51",38.73373,125.41599,96000
"107","6/6/51",39.90272,127.52601,96000
"108","6/6/51",38.37762,127.35142,5000
"109","6/6/51",38.39481,127.29378,5000
"110","6/6/51",38.4215,127.27024,5000
"111","6/6/51",38.34977,127.29484,5000
"112","6/6/51",38.39547,127.33957,5000
"113","6/6/51",38.33992,127.23786,5000
"114","6/6/51",38.36728,127.26009,10000
"115","6/6/51",38.3219,127.2383,10000
"118","6/7/51",38.26751,127.21675,9000
"119","6/7/51",38.54568,127.14106,10000
"120","6/7/51",38.34076,127.29505,10000
"121","6/7/51",38.22556,127.43483,10000
"122","6/7/51",38.3071,127.46739,10000
"123","6/7/51",38.36812,127.3173,10000
"124","6/7/51",38.35107,127.38636,10000
"125","6/7/51",38.36924,127.3974,10000
"126","6/7/51",38.37762,127.35142,10000
"127","6/7/51",38.39563,127.35101,10000
"128","6/7/51",38.24403,127.46871,10000
"129","6/7/51",38.27754,127.2851,10000
"130","6/7/51",38.26608,127.12535,10000
"131","6/7/51",38.25652,127.09131,10000
"132","6/7/51",38.2687,127.29674,10000
"133","6/7/51",38.2687,127.29674,10000
"134","6/7/51",38.43134,127.32729,10000
"135","6/7/51",38.42133,127.25879,10000
"136","6/7/51",38.37729,127.32853,10000
"137","6/7/51",38.27397,127.05656,20000
"138","6/7/51",38.11262,126.20547,20000
"139","6/7/51",38.35107,127.38636,20000
"144","6/8/51",38.28428,127.13631,4000
"146","6/8/51",38.76497,127.34254,9500
"147","6/8/51",38.36008,127.38615,9500
"148","6/8/51",38.41712,126.99546,10000
"149","6/8/51",38.27581,127.17082,10000
"150","6/8/51",38.22281,127.24069,10000
"151","6/8/51",38.20229,127.0813,10000
"152","6/8/51",38.30587,127.37592,10000
"153","6/8/51",38.29621,127.3304,10000
"154","6/8/51",38.33091,127.23808,10000
"155","6/8/51",38.32173,127.22686,10000
"156","6/8/51",38.21481,127.30941,10000
"157","6/8/51",38.33777,127.10062,10000
"158","6/8/51",38.19853,127.43541,10000
"159","6/8/51",38.22616,127.48051,10000
"160","6/8/51",38.27686,127.23939,10000
"161","6/8/51",38.2841,127.12488,10000
"163","6/8/51",38.34076,127.29505,10500
"164","6/8/51",38.36828,127.32874,10500
"165","6/8/51",38.29572,127.2961,20000
"166","6/8/51",38.31148,127.14705,20000
"167","6/8/51",38.29621,127.3304,20000
"168","6/8/51",38.26892,128.14263,20000
"169","6/8/51",38.37635,128.04977,20000
"170","6/8/51",38.50105,125.75216,20000
"174","6/9/51",38.40805,127.61414,12000
"176","6/9/51",38.44475,127.67073,4000
"177","6/9/51",38.29763,127.43328,4500
"178","6/9/51",38.36724,128.03845,4500
"179","6/9/51",38.28923,126.89608,5000
"180","6/9/51",38.12326,127.9618,5000
"181","6/9/51",38.25911,128.03987,5000
"182","6/9/51",38.28785,127.37632,10000
"183","6/9/51",38.26497,127.0568,10000
"184","6/9/51",38.29701,127.38755,10000
"185","6/9/51",38.29748,127.42185,11500
"186","6/9/51",38.24825,127.13723,20000
"191","6/10/51",38.33238,126.35718,4000
"192","6/10/51",38.28694,128.14242,4000
"193","6/10/51",38.25019,128.05142,4000
"194","6/10/51",38.24971,127.99428,4000
"195","6/10/51",38.30368,127.9821,4000
"196","6/10/51",38.26456,127.67403,10000
"197","6/10/51",38.4258,127.59089,10000
"198","6/10/51",38.02447,125.71144,20000
"200","6/10/51",38.51005,125.7525,121500
"201","6/10/51",38.51005,125.7525,122000
"202","6/11/51",38.38017,126.48136,12000
"203","6/11/51",38.37436,127.134,5000
"204","6/11/51",38.34751,127.14613,5500
"205","6/11/51",38.35652,127.1459,9500
"206","6/11/51",38.40792,127.60269,10000
"207","6/11/51",38.37228,127.63772,10000
"208","6/11/51",39.96485,127.45443,20000
"210","6/11/51",39.90272,127.52601,220000
"213","6/12/51",39.90272,127.52601,57000
"214","6/12/51",38.43723,125.7841,57600
"215","6/12/51",38.38017,126.48136,12000
"216","6/12/51",38.25872,127.99416,8000
"217","6/12/51",38.26783,128.00547,12000
"218","6/12/51",38.1944,126.64762,20000
"219","6/12/51",39.90272,127.52601,30000
"220","6/12/51",39.90272,127.52601,30000
"221","6/12/51",38.50078,125.76362,39000
"222","6/12/51",38.50078,125.76362,39000
"223","6/13/51",38.72496,125.40419,57600
"224","6/13/51",38.72496,125.40419,57600
"225","6/13/51",39.90272,127.52601,64800
"226","6/13/51",39.90272,127.52601,64800
"227","6/13/51",38.4121,125.70298,12000
"228","6/13/51",38.26497,127.0568,5000
"229","6/13/51",38.33446,126.90622,5000
"230","6/13/51",38.48736,126.89033,5000
"231","6/13/51",38.40265,126.69814,5000
"232","6/13/51",39.90272,127.52601,20000
"235","6/14/51",38.0918,126.47989,5000
"236","6/14/51",38.28113,126.48479,5000
"237","6/14/51",38.32047,126.64355,5000
"238","6/14/51",38.26667,126.65672,5000
"239","6/14/51",38.26764,127.98261,10000
"240","6/14/51",38.30252,127.85632,10000
"241","6/14/51",38.43723,125.7841,16000
"244","6/15/51",39.90272,127.52601,21600
"245","6/15/51",39.90272,127.52601,21600
"246","6/15/51",38.3971,126.88151,5000
"247","6/15/51",38.39068,127.03054,5000
"248","6/15/51",38.42184,127.29314,5000
"249","6/15/51",38.43952,127.26981,5000
"250","6/15/51",38.50756,127.64664,10000
"251","6/15/51",38.49881,127.66974,10000
"252","6/15/51",39.81265,127.52794,79500
